geoid,name,B19083001,"B19083001, Error"
05000US13123,"Gilmer County, GA",0.4561,0.0269
05000US13125,"Glascock County, GA",0.4538,0.0479
05000US13127,"Glynn County, GA",0.5123,0.0231
05000US13129,"Gordon County, GA",0.4646,0.0266
05000US13131,"Grady County, GA",0.4599,0.0258
05000US13133,"Greene County, GA",0.5604,0.0283
05000US13135,"Gwinnett County, GA",0.4267,0.0055
05000US13137,"Habersham County, GA",0.4348,0.0182
05000US13139,"Hall County, GA",0.4596,0.0116
05000US13141,"Hancock County, GA",0.4697,0.0509
05000US13143,"Haralson County, GA",0.4394,0.0256
05000US13145,"Harris County, GA",0.4436,0.0306
05000US13147,"Hart County, GA",0.4498,0.0235
05000US13149,"Heard County, GA",0.4038,0.0238
05000US13151,"Henry County, GA",0.3919,0.0097
05000US13153,"Houston County, GA",0.4327,0.0129
05000US13155,"Irwin County, GA",0.4814,0.0402
05000US13157,"Jackson County, GA",0.4291,0.0189
05000US13159,"Jasper County, GA",0.4159,0.0241
05000US13161,"Jeff Davis County, GA",0.4357,0.0333
05000US13163,"Jefferson County, GA",0.473,0.0376
05000US13165,"Jenkins County, GA",0.4417,0.0504
05000US13167,"Johnson County, GA",0.4208,0.0239
05000US13169,"Jones County, GA",0.4271,0.0238
05000US13171,"Lamar County, GA",0.4783,0.0361
05000US13173,"Lanier County, GA",0.4687,0.0382
05000US13175,"Laurens County, GA",0.4997,0.0179
05000US13177,"Lee County, GA",0.397,0.0252
05000US13179,"Liberty County, GA",0.3971,0.0148
05000US13181,"Lincoln County, GA",0.4995,0.0411
05000US13183,"Long County, GA",0.3787,0.0346
05000US13185,"Lowndes County, GA",0.5179,0.021
05000US13187,"Lumpkin County, GA",0.4738,0.0375
05000US13189,"McDuffie County, GA",0.4518,0.0298
05000US13191,"McIntosh County, GA",0.4294,0.033
05000US13193,"Macon County, GA",0.4998,0.0588
05000US13195,"Madison County, GA",0.4205,0.0216
05000US13197,"Marion County, GA",0.4344,0.0331
05000US13199,"Meriwether County, GA",0.4689,0.0302
05000US13201,"Miller County, GA",0.4732,0.0468
05000US13205,"Mitchell County, GA",0.4683,0.0396
05000US13207,"Monroe County, GA",0.5327,0.0273
05000US13209,"Montgomery County, GA",0.4991,0.0532
05000US13211,"Morgan County, GA",0.4517,0.0273
05000US13213,"Murray County, GA",0.4096,0.0214
05000US13215,"Muscogee County, GA",0.498,0.0113
05000US13217,"Newton County, GA",0.4388,0.0189
